总台,#genre#
吉林卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8
辽宁卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
内蒙古卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8
宁夏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225726/index.m3u8
江苏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225743/index.m3u8
青海卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225727/index.m3u8
山东卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225730/index.m3u8
陕西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225729/index.m3u8
农林卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226204/index.m3u8
四川卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225733/index.m3u8
康巴卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226263/index.m3u8
天津卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
西藏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225723/index.m3u8
新疆卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225725/index.m3u8
延边卫视, https://srs.iyb983.cn/video/CYS/index.m3u8
云南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8
浙江卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
香港卫视, http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8

付费,#genre#
4KUHD, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
CHC动作电影, http://39.135.140.104:6610/PLTV/88888888/224/3221226308/2/index.m3u8
CHC影迷电影, http://39.135.140.104:6610/PLTV/88888888/224/3221226305/2/index.m3u8
CHC家庭影院, http://39.135.140.104:6610/PLTV/88888888/224/3221226319/2/index.m3u8
哒啵电竞, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226265/index.m3u8
哒啵赛事, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225653/index.m3u8
点掌财经, https://volcanopull.aniu.tv/live/aniu2/index.m3u8
黑莓电影, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225764/index.m3u8
睛彩广场舞, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226391/01.m3u8
睛彩竞技, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226243/index.m3u8
睛彩篮球, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226240/index.m3u8
睛彩青少, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226261/index.m3u8

少儿,#genre#
哈哈炫动, http://[2409:8087:1e02:20::1a]/000000001000/5000000011000031123/index.m3u8
黑莓动画, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225672/index.m3u8
嘉佳卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226193/index.m3u8
江西少儿, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
金鹰卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225721/index.m3u8
KAKU少儿, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225677/index.m3u8
新动漫, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226322/01.m3u8?fmt=ts2hls
优漫卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225665/index.m3u8
优优宝贝, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226312/01.m3u8?fmt=ts2hls
浙江少儿, https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

NewTV,#genre#
国学频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226338/01.m3u8?fmt=ts2hls
国学苑, http://117.169.120.98:8080/ysten-businessmobile/live/HD-4000k-1080P-guoxueyuan/1.m3u8
书画频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226370/01.m3u8?fmt=ts2hls
四海钓鱼, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226330/01.m3u8?fmt=ts2hls
中国天气, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226334/01.m3u8?fmt=ts2hls
精品体育, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225709/01.m3u8
Windows, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226397/index.m3u8

江西,#genre#
江西新闻, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西都市, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls
江西公共农业, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225578/index.m3u8?fmt=ts2hls
江西教育, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226197/index.m3u8?fmt=ts2hls
江西经济生活, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/index.m3u8?fmt=ts2hls
移动电视, http://39.135.140.104:6610/PLTV/88888888/224/3221226427/2/index.m3u8
陶瓷, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226304/01.m3u8?fmt=ts2hls
南昌新闻综合, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226382/01.m3u8?fmt=ts2hls
南昌都市, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226385/01.m3u8?fmt=ts2hls
南昌资讯, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226374/01.m3u8?fmt=ts2hls
赣州新闻综合, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226408/01.m3u8?fmt=ts2hls
赣州公共, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226412/01.m3u8?fmt=ts2hls
赣州教育, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226411/01.m3u8?fmt=ts2hls
九江公共频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226420/01.m3u8?fmt=ts2hls
九江教育频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226423/01.m3u8?fmt=ts2hls
九江新闻综合频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226417/01.m3u8?fmt=ts2hls

北京,#genre#
4K超高清, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226394/index.m3u8
纪实科教, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225675/index.m3u8
生态环境, http://39.135.140.104:6610/PLTV/88888888/224/3221226325/2/index.m3u8

重庆,#genre#
汽摩, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225506/index.m3u8?fmt=ts2hls
铜梁综合, http://183.64.174.171:40123/ch1.m3u8
潼南综合, http://183.230.184.51:65500/tntv1.m3u8

广东,#genre#
河源综合, http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共, http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
云浮文旅, https://livestream.oeeee.com/slive/28284.m3u8

广西,#genre#
南宁新闻综合, https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共, https://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁文旅生活, https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁影视娱乐, https://hls.nntv.cn/nnlive/YSYL_244.m3u8

贵州,#genre#
黔南1台, http://tvfile.qntv.net/nmip-media/channellive/channel108689/playlist.m3u8
黔南2台, http://tvfile.qntv.net/nmip-media/channellive/channel109066/playlist.m3u8

河南,#genre#
梨园频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225581/index.m3u8?fmt=ts2hls
文物宝库, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226328/01.m3u8?fmt=ts2hls
武术世界, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225508/index.m3u8?fmt=ts2hls

黑龙江,#genre#
哈尔滨新闻综合, http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨生活, http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨影视, http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨.方正综合, https://rmplive.hljtv.com/live/fangzheng.m3u8
哈尔滨.呼兰综合, https://rmplive.hljtv.com/live/hulan.m3u8
哈尔滨.尚志综合, https://rmplive.hljtv.com/live/shangzhi.m3u8
哈尔滨.通河县综合频道, https://rmplive.hljtv.com/live/tonghe.m3u8
哈尔滨.依兰综合, https://rmplive.hljtv.com/live/yilan.m3u8
大兴安岭新闻综合, https://rmplive.hljtv.com/live/daxinganling.m3u8
大兴安岭.呼玛综合, https://rmplive.hljtv.com/live/huma.m3u8
大兴安岭.漠河综合频道, https://rmplive.hljtv.com/live/mohe.m3u8
大兴安岭.塔河综合频道, https://rmplive.hljtv.com/live/tahe.m3u8
黑河新闻综合, https://rmplive.hljtv.com/live/heihe.m3u8
黑河.北安综合, https://rmplive.hljtv.com/live/beian.m3u8
黑河.嫩江综合, https://rmplive.hljtv.com/live/nenjiang.m3u8
鸡西新闻综合, https://rmplive.hljtv.com/live/jixi.m3u8
鸡西.虎林综合频道, https://rmplive.hljtv.com/live/hulin.m3u8
佳木斯.桦南综合, https://rmplive.hljtv.com/live/huanan.m3u8
佳木斯.汤原综合, https://rmplive.hljtv.com/live/tangyuan.m3u8
佳木斯.同江综合, https://rmplive.hljtv.com/live/tongjiang.m3u8
牡丹江.东宁综合频道, https://rmplive.hljtv.com/live/dongning.m3u8
牡丹江.海林综合频道, https://rmplive.hljtv.com/live/hailin.m3u8
牡丹江.穆棱综合频道, https://rmplive.hljtv.com/live/muleng.m3u8
牡丹江.宁安综合, https://rmplive.hljtv.com/live/ningan.m3u8
牡丹江.绥芬河综合, https://rmplive.hljtv.com/live/suifenhe.m3u8
七台河新闻综合, https://rmplive.hljtv.com/live/qitaihe.m3u8
七台河.勃利综合频道, https://rmplive.hljtv.com/live/boli.m3u8
齐齐哈尔新闻综合, https://rmplive.hljtv.com/live/qiqihaer.m3u8
齐齐哈尔.拜泉综合, https://rmplive.hljtv.com/live/baiquan.m3u8
齐齐哈尔.富裕综合, https://rmplive.hljtv.com/live/fuyu.m3u8
齐齐哈尔.甘南综合, https://rmplive.hljtv.com/live/gannan.m3u8
齐齐哈尔.克东综合, https://rmplive.hljtv.com/live/kedong.m3u8
齐齐哈尔.克山综合, https://rmplive.hljtv.com/live/keshan.m3u8
齐齐哈尔.龙江综合频道, https://rmplive.hljtv.com/live/longjiang.m3u8
齐齐哈尔.讷河综合, https://rmplive.hljtv.com/live/nehe.m3u8
齐齐哈尔.泰来综合, https://rmplive.hljtv.com/live/tailai.m3u8
齐齐哈尔.依安综合, https://rmplive.hljtv.com/live/yian.m3u8
双鸭山.饶河综合, https://rmplive.hljtv.com/live/raohe.m3u8
双鸭山.友谊综合, https://rmplive.hljtv.com/live/youyi.m3u8
绥化新闻综合, https://rmplive.hljtv.com/live/suihua.m3u8
绥化.海伦市综合频道, https://rmplive.hljtv.com/live/hailun.m3u8
绥化.明水综合, https://rmplive.hljtv.com/live/mingshui.m3u8
绥化.青冈综合, https://rmplive.hljtv.com/live/qinggang.m3u8
绥化.庆安县综合频道, https://rmplive.hljtv.com/live/qingan.m3u8
绥化.绥棱综合, https://rmplive.hljtv.com/live/suileng.m3u8
绥化.望奎综合频道, https://rmplive.hljtv.com/live/wangkui.m3u8
伊春综合, https://rmplive.hljtv.com/live/yichun.m3u8
伊春.嘉荫综合, https://rmplive.hljtv.com/live/jiayin.m3u8
伊春.铁力综合, https://rmplive.hljtv.com/live/tieli.m3u8

湖北,#genre#
武汉.江夏综合, http://59.175.226.142:280/gb28181/xwzh.m3u8
十堰经济旅游, http://p8.vzan.com/slowlive/701367497774448672/live.m3u8

湖南,#genre#
茶频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225781/01.m3u8?fmt=ts2hls
金鹰纪实, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226198/index.m3u8
快乐垂钓, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225780/01.m3u8?fmt=ts2hls
先锋乒羽, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226311/01.m3u8?fmt=ts2hls

吉林,#genre#
长春.德惠综合, http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
长春.九台综合, http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
长春.双阳综合, http://stream11.jlntv.cn/shuangyang/sd/live.m3u8
白山.江源1, http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8
白山.松原生活, http://stream8.jlntv.cn/sytv2/sd/live.m3u8
吉林.桦甸综合频道, http://stream10.jlntv.cn/huadian/sd/live.m3u8
吉林.磐石综合频道, http://stream5.jlntv.cn/ps/sd/live.m3u8
吉林.永吉综合, http://stream10.jlntv.cn/yongji/sd/live.m3u8
通化.辉南新闻综合, http://stream5.jlntv.cn/hn/sd/live.m3u8
通化.通化县综合, http://stream5.jlntv.cn/thx/sd/live.m3u8
延边.珲春, http://stream8.jlntv.cn/hctv/sd/live.m3u8

江苏,#genre#
财富天下, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226336/01.m3u8?fmt=ts2hls
南京.江宁综合, http://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
常州.金坛新闻, http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8
常州.武进新闻, https://live.wjyanghu.com/live/CH1.m3u8
常州.武进生活, https://live.wjyanghu.com/live/CH2.m3u8
淮安.金湖新闻综合, http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8
淮安.涟水综合, http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
连云港.赣榆综合, http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8
宿迁.沭阳综合, http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
宿迁.泗阳资讯, http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
无锡新闻综合, http://stream.thmz.com/wxtv1/playlist.m3u8
无锡都市资讯, http://stream.thmz.com/wxtv3/playlist.m3u8
无锡生活, http://stream.thmz.com/wxtv4/playlist.m3u8
无锡娱乐, http://stream.thmz.com/wxtv2/playlist.m3u8
徐州.沛县新闻综合, http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8
徐州.睢宁综合, http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8
徐州.睢宁三农, http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8
扬州.高邮综合, http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
镇江新闻综合, http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
镇江2台, http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
镇江.句容新闻综合, http://jrlive.jrntv.com/live/jrxwzh/playlist.m3u8
镇江.句容生活频道, http://jrlive.jrntv.com/live/shenghuo/playlist.m3u8
镇江.句容影视频道, http://jrlive.jrntv.com/live/yingshi/playlist.m3u8

内蒙古,#genre#
乌海新闻综合, http://live.wuhainews.org.cn/xwzh/sd/live.m3u8
乌海都市生活, http://live.wuhainews.org.cn/dssh/sd/live.m3u8

青海,#genre#
西宁新闻综合, https://liveout.xntv.tv/a65jur/96iln2.m3u8
西宁生活服务, https://liveout.xntv.tv/a65jur/90p2i1.m3u8
西宁.大通电视台, http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8

山东,#genre#
山东教育卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225719/index.m3u8

山西,#genre#
长治.黎城综合, http://111.53.96.67:8081/live/1/index.m3u8
晋城新闻综合, http://live.jinnews.com.cn/xwzh/sd/live.m3u8
晋城文化生活, http://live.jinnews.com.cn/ggpd/sd/live.m3u8
闻喜综合, https://www.wxhcgbds.com:8081/channelTv/WXTV_1.m3u8?zshanxd

陕西,#genre#
陕西新闻资讯, http://gxlive.snrtv.com/sx1-SD.m3u8
陕西都市青春, http://gxlive.snrtv.com/sx2-SD.m3u8
陕西秦腔, http://gxlive.snrtv.com/sx5-SD.m3u8
陕西体育休闲, http://gxlive.snrtv.com/sx7-SD.m3u8
陕西西部电影, http://gxlive.snrtv.com/sx8-SD.m3u8
陕西银龄, http://gxlive.snrtv.com/sx3-SD.m3u8
西安新闻综合, http://xatv-yt.xiancity.cn/live/1/index.m3u8
西安都市频道, http://xatv-yt.xiancity.cn/live/2/index.m3u8
西安商务资讯, http://xatv-yt.xiancity.cn/live/3/index.m3u8
西安丝路频道, http://xatv-yt.xiancity.cn/live/5/index.m3u8
西安戏剧影视, http://xatv-yt.xiancity.cn/live/4/index.m3u8
西安移动电视, http://xatv-yt.xiancity.cn/live/7/index.m3u8

上海,#genre#
第一财经, http://[2409:8087:1e02:20::1a]/000000001000/5000000010000027146/index.m3u8
东方财经, http://[2409:8087:1e02:20::1a]/000000001000/5000000007000010003/index.m3u8
东方影视, http://[2409:8087:1e02:20::1a]/000000001000/5000000010000032212/index.m3u8
都市剧场, http://[2409:8087:1e02:20::1a]/000000001000/5000000002000004412/index.m3u8
法治天地, http://[2409:8087:1e02:20::1a]/000000001000/9001547084732463424/index.m3u8
欢笑剧场4K, http://[2409:8087:1e02:20::1a]/000000001000/5000000002000009455/index.m3u8
金色学堂, http://[2409:8087:1e02:20::1a]/000000001000/5000000010000026105/index.m3u8
乐游, http://[2409:8087:1e02:20::1a]/000000001000/5000000011000031112/index.m3u8
生活时尚, http://[2409:8087:1e02:20::1a]/000000001000/5000000002000019634/index.m3u8
五星体育, http://[2409:8087:1e02:20::1a]/000000001000/5000000010000017540/index.m3u8
游戏风云, http://[2409:8087:1e02:20::1a]/000000001000/5000000002000027005/index.m3u8

四川,#genre#
阿坝.松潘, http://live.spccmc.com:90/live/spxwzh.m3u8
乐山新闻综合, http://pwpull.leshan.cn:80/live/21609091019110008654ed1a00000000/playlist.m3u8
乐山文旅生活, http://pwpull.leshan.cn:80/live/216e177701911000eb46902c00000000/playlist.m3u8
乐山.犍为综合, http://r8.vzan.com:80/v/slowlive_230559508552681163.m3u8
雅安新闻综合, https://m3u8channel.yunxya.com/nmip-media/channellive/channel100028/playlist.m3u8
雅安文化生活, https://m3u8channel.yunxya.com/nmip-media/channellive/channel100819/playlist.m3u8
资阳.乐至综合, http://175.155.106.72:89/live1/live1.m3u8

天津,#genre#
滨海2, http://traffic.jbh.tjbh.com/live/bhtv20/playlist.m3u8
武清, https://tvpull.smartwq.cn/wqlive/convergencemedia/playlist.m3u8

新疆,#genre#
克拉玛依1台, https://klmysjtzb.rcsxzx.com/hls/klmy1.m3u8
石河子新闻综合, http://124.88.144.73:1935/live/xwzh/playlist.m3u8

浙江,#genre#
浙江新闻, https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际, https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江经济生活, https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视, https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲, https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江影视娱乐, https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
钱江都市, https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
之江纪录, https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
杭州.萧山综合, http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
杭州.余杭新闻频道, http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
杭州.余杭临平新闻, http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
杭州.余杭未来频道, http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
嘉兴.海宁新闻综合, https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8?zbid=293304&tpid=1708007815
嘉兴.平湖新闻综合, http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
嘉兴.平湖民生休闲, http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8
嘉兴.平湖交通生活广播, http://l.cztvcloud.com/channels/lantian/SXpinghu4/720p.m3u8
金华.东阳影视生活, http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
金华.兰溪新闻综合, http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
金华.武义新闻综合, http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
